Country,TotalPop
Afghanistan,38928000
Albania,2867000
Algeria,43851000
Andorra,77000
Angola,32866000
Antigua and Barbuda,98000
Argentina,45303000
Armenia,2963000
Australia,25608000
Austria,8883000
Azerbaijan,10115000
Bahamas,393000
Bahrain,1702000
Bangladesh,164689000
Barbados,287000
Belarus,9448000
Belgium,11538000
Belize,398000
Benin,12123000
Bhutan,772000
Bolivia,11673000
Bosnia and Herzegovina,3281000
Botswana,2352000
Brazil,212559000
Brunei,437000
Bulgaria,6916000
Burkina Faso,20903000
Burundi,11891000
Cabo Verde,556000
Cambodia,16719000
Cameroon,26546000
Canada,37684000
Central African Republic,4830000
Chad,16426000
Chile,19116000
China,1401379000
Colombia,50883000
Congo (Brazzaville),5518000
Congo (Kinshasa),89561000
Costa Rica,5094000
Cote d'Ivoire,26378000
Croatia,4052000
Cuba,11327000
Cyprus,1207000
Czech Republic,10631000
Denmark,5840000
Djibouti,988000
Dominica,72000
Dominican Republic,10848000
Ecuador,17643000
Egypt,102334000
El Salvador,6486000
Eritrea,3213970
Equatorial Guinea,1403000
Estonia,1313000
Eswatini,1160000
Ethiopia,114964000
Fiji,896000
Finland,5548000
France,67443000
Gabon,2226000
Gambia,2417000
Georgia,3711000
Germany,82678000
Ghana,31073000
Greece,10665000
Grenada,113000
Guatemala,17916000
Guinea,13133000
Guinea-Bissau,1968000
Guyana,787000
Haiti,11403000
Honduras,9905000
Hungary,9695000
Iceland,359000
India,1380004000
Indonesia,273524000
Iran,83993000
Iraq,40222000
Ireland,4933000
Israel,9152000
Italy,60250000
Jamaica,2961000
Japan,125661000
Jordan,10203000
Kazakhstan,18654000
Kenya,53771000
"Korea, South",51922000
Kosovo,1870000
Kuwait,4271000
Kyrgyzstan,6489000
Laos,7276000
Latvia,1905000
Lebanon,6825000
Liberia,5058000
Libya,6871000
Liechtenstein,38000
Lithuania,2767000
Luxembourg,622000
Madagascar,27691000
Malawi,19130000
Malaysia,32366000
Maldives,541000
Mali,20251000
Malta,486000
Mauritania,4650000
Mauritius,1270000
Mexico,128933000
Moldova,3525000
Monaco,39000
Mongolia,3278000
Montenegro,622000
Morocco,36911000
Mozambique,31255000
Namibia,2541000
Nepal,29137000
Netherlands,17330000
New Zealand,4971000
Nicaragua,6625000
Niger,24207000
Nigeria,206140000
North Macedonia,2083000
Norway,5422000
Oman,5107000
Pakistan,220892000
Panama,4315000
Papua New Guinea,8947000
Paraguay,7133000
Peru,32972000
Philippines,109581000
Poland,37806000
Portugal,10195000
Qatar,2881000
Romania,19247000
Russia,144222000
Rwanda,12952000
San Marino,34000
Sao Tome and Principe,219000
Saudi Arabia,34814000
Senegal,16744000
Serbia,6929000
Seychelles,98000
Sierra Leone,7977000
Singapore,5772000
Slovakia,5448000
Slovenia,2067000
Somalia,15893000
South Africa,59309000
South Sudan,11194000
Spain,46711000
Sri Lanka,21837000
Sudan,43849000
Suriname,587000
Sweden,10319000
Switzerland,8641000
Syria,17501000
Tanzania,59734000
Thailand,69800000
Timor-Leste,1318000
Togo,8279000
Trinidad and Tobago,1399000
Tunisia,11819000
Turkey,84339000
Uganda,45741000
Ukraine,44158000
United Arab Emirates,9890000
United Kingdom,67224000
Uruguay,3474000
US,331915000
Uzbekistan,33749000
Venezuela,28436000
Vietnam,97339000
West Bank and Gaza,4813000
Yemen,29826000
Zambia,18384000
Zimbabwe,14863000
Lamu,25242
Basuba,1479
Pate Island,17428
Ndau,786
Kiwayu,547
Lamu Island,28032
Mokowe Hindi Mkunumbi,31946
Mpeketoni,38341
Witu,23343
